Variable,Type,Generation_Method,Range_or_Categories,Evidence_Basis,Rationale,Estimated_From_Real_Project_Data,Citation_Note
Procurement_Lead_Time_Days,Numerical,"Normal(25,10)+6*Complexity_Score",Clipped 5–120 days; rounded integer,Literature-informed direction; researcher-defined numeric simulation setting,Generated conditionally on complexity to create plausible dependency structure; parameters are simulation assumptions.,False,Use direct manuscript citation for the expected relationship where claimed; do not cite the numeric simulation setting as empirical unless a source directly supports it.
Payment_Delay_Days,Numerical,"Gamma(shape=1.4, scale=7.0)",Clipped 0–90 days; rounded integer,Literature-informed direction; researcher-defined numeric simulation setting,Included because the literature identifies the construct as relevant to project delay/risk; the numerical distribution/range is not an empirical population estimate.,False,Use direct manuscript citation for the expected relationship where claimed; do not cite the numeric simulation setting as empirical unless a source directly supports it.
Quality_Defect_Rate,Numerical,"Beta(2,12)*20",Approximately 0–20; rounded 2 decimals,Literature-informed direction; researcher-defined numeric simulation setting,Included because the literature identifies the construct as relevant to project delay/risk; the numerical distribution/range is not an empirical population estimate.,False,Use direct manuscript citation for the expected relationship where claimed; do not cite the numeric simulation setting as empirical unless a source directly supports it.
Safety_Incident_Count,Numerical,Poisson(lambda=0.15+0.12*Complexity_Score),Clipped 0–8,Literature-informed direction; researcher-defined numeric simulation setting,Generated conditionally on complexity to create plausible dependency structure; parameters are simulation assumptions.,False,Use direct manuscript citation for the expected relationship where claimed; do not cite the numeric simulation setting as empirical unless a source directly supports it.
Weather_Risk_Score,Numerical,"Normal(4.5,2.1)",Clipped 1–10; 1 decimal,Literature-informed direction; researcher-defined numeric simulation setting,Included because the literature identifies the construct as relevant to project delay/risk; the numerical distribution/range is not an empirical population estimate.,False,Use direct manuscript citation for the expected relationship where claimed; do not cite the numeric simulation setting as empirical unless a source directly supports it.
Permit_Risk_Score,Numerical,"Normal(4.8,2.2)",Clipped 1–10; 1 decimal,Literature-informed direction; researcher-defined numeric simulation setting,Included because the literature identifies the construct as relevant to project delay/risk; the numerical distribution/range is not an empirical population estimate.,False,Use direct manuscript citation for the expected relationship where claimed; do not cite the numeric simulation setting as empirical unless a source directly supports it.
Inflation_Risk_Score,Numerical,"Normal(4.7,2.0)",Clipped 1–10; 1 decimal,Literature-informed direction; researcher-defined numeric simulation setting,Included because the literature identifies the construct as relevant to project delay/risk; the numerical distribution/range is not an empirical population estimate.,False,Use direct manuscript citation for the expected relationship where claimed; do not cite the numeric simulation setting as empirical unless a source directly supports it.
Site_Condition_Risk_Score,Numerical,"Normal(4.6,2.2)",Clipped 1–10; 1 decimal,Literature-informed direction; researcher-defined numeric simulation setting,Included because the literature identifies the construct as relevant to project delay/risk; the numerical distribution/range is not an empirical population estimate.,False,Use direct manuscript citation for the expected relationship where claimed; do not cite the numeric simulation setting as empirical unless a source directly supports it.
Force_Majeure_Flag,Binary,Bernoulli(p=0.055),0 or 1,Literature-informed direction; researcher-defined numeric simulation setting,Included because the literature identifies the construct as relevant to project delay/risk; the numerical distribution/range is not an empirical population estimate.,False,Use direct manuscript citation for the expected relationship where claimed; do not cite the numeric simulation setting as empirical unless a source directly supports it.
External_Risk_Score,Numerical,0.27*Weather + 0.30*Permit + 0.22*Inflation + 0.21*Site + 1.5*Force_Majeure,Clipped 1–10; rounded 2 decimals,Deterministic derived relationship,Composite synthetic indicator combining external-risk dimensions; component weights are simulation choices.,False,Use direct manuscript citation for the expected relationship where claimed; do not cite the numeric simulation setting as empirical unless a source directly supports it.
